,title,rating,categories,description,keyword
20,Otra dimensión,6.0,"['Comedy', 'Fantasy', 'Horror']",Genre anthology series based on the graphic novel novels by R.L. Stine.,based on novel
21,The Handmaid's Tale,8.4,"['Drama', 'Sci-Fi', 'Thriller']","Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.",based on novel
22,The Expanse,8.5,"['Drama', 'Mystery', 'Sci-Fi']","In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",based on novel
23,Harry Potter and the Sorcerer's Stone,7.6,"['Adventure', 'Family', 'Fantasy']","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",based on novel
24,The Haunting of Bly Manor,7.4,"['Drama', 'Horror', 'Mystery']","After an au pair’s tragic death, Henry hires a young American nanny to care for his orphaned niece and nephew who reside at Bly Manor with the chef Owen, groundskeeper Jamie and housekeeper, Mrs. Grose.",based on novel
25,The Lost Daughter,6.6,['Drama'],A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.,based on novel
26,House of the Dragon,,"['Action', 'Adventure', 'Drama']","The story of the House Targaryen set 200 years before the events of <a href=""/title/tt0944947"">Game of Thrones</a> (2011).",based on novel
27,The Last Kingdom,8.4,"['Action', 'Drama', 'History']","As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.",based on novel
28,Wonka,,"['Adventure', 'Comedy', 'Family']",The story will focus specifically on a young Willy Wonka and how he met the Oompa-Loompas on one of his earliest adventures.,based on novel
29,There's Someone Inside Your House,4.8,"['Horror', 'Mystery', 'Thriller']","The graduating class at Osborne High is being targeted by a masked assailant, intent on exposing the darkest secret of each victim, and only a group of misfit outsiders can stop the killings.",based on novel
30,It,7.3,['Horror'],"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",based on novel
31,Grantchester,7.9,"['Crime', 'Drama', 'Mystery']",A Cambridgeshire clergyman finds himself investigating a series of mysterious wrongdoings in his small village of Grantchester.,based on novel
32,Infinite,5.5,"['Action', 'Sci-Fi', 'Thriller']",A man discovers that his hallucinations are actually visions from past lives.,based on novel
33,Bridgerton,7.3,"['Drama', 'Romance']","Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",based on novel
34,Fight Club,8.8,['Drama'],An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,based on novel
35,The Shining,8.4,"['Drama', 'Horror']","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",based on novel
36,Apocalypse Now,8.4,"['Drama', 'Mystery', 'War']",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,based on novel
37,El Padrino,9.2,"['Crime', 'Drama']",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,based on novel
38,The Larkins,5.0,"['Comedy', 'Drama']","A new adaptation of the classic novel The Darling Buds of May by H.E. Bates following the warm-hearted, wheeler-dealing adventures of the iconic Larkin family in the idyllic Kent countryside.",based on novel
39,After: Aquí empieza todo,5.3,"['Drama', 'Romance']","A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by <a href=""/name/nm6849771"">Anna Todd</a>.",based on novel
40,The Baby-Sitters Club,7.4,"['Comedy', 'Drama', 'Family']",Based on the book series of the same name focusing on a group of young girls who start their own babysitting service.,based on novel
41,The Leftovers,8.3,"['Drama', 'Fantasy', 'Mystery']","Three years after the disappearance of two percent of the global population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event.",based on novel
42,Sherlock,9.1,"['Crime', 'Drama', 'Mystery']",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,based on novel
43,Doctor Sueño,7.3,"['Drama', 'Fantasy', 'Horror']","Years following the events of <a href=""/title/tt0081505"">The Shining</a> (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",based on novel
44,Mujercitas,7.8,"['Drama', 'Romance']","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",based on novel
45,It capítulo 2,6.5,"['Drama', 'Fantasy', 'Horror']","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",based on novel
46,I Know What You Did Last Summer,5.7,"['Horror', 'Mystery']",Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.,based on novel
47,Animales nocturnos,7.5,"['Drama', 'Thriller']","A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",based on novel
48,Llámame por tu nombre,7.9,"['Drama', 'Romance']","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",based on novel
49,The Lord of the Rings: The Fellowship of the Ring,8.8,"['Action', 'Adventure', 'Drama']",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,based on novel
0,The Shawshank Redemption,9.3,['Drama'],"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",based on novella
1,Heartland,8.4,"['Drama', 'Family']","A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.",based on novella
2,El enigma de otro mundo,8.1,"['Horror', 'Mystery', 'Sci-Fi']",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,based on novella
3,Hellraiser,7.0,"['Horror', 'Thriller']","A woman discovers the newly resurrected, partially formed, body of her brother-in-law. She starts killing for him to revitalize his body so he can escape the demonic beings that are pursuing him after he escaped their sadistic underworld.",based on novella
4,Poirot,8.6,"['Crime', 'Drama', 'Mystery']","The cases of eccentric, but sharp, Belgian detective Hercule Poirot.",based on novella
5,Spirited,,"['Comedy', 'Family', 'Musical']",A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.,based on novella
6,The Thing,6.2,"['Horror', 'Mystery', 'Sci-Fi']","At an Antarctica research site, the discovery of an alien craft leads to a confrontation between graduate student Kate Lloyd and scientist Dr. Sander Halvorson.",based on novella
7,Stand by Me,8.1,"['Adventure', 'Drama']","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",based on novella
8,The Mist,7.1,"['Horror', 'Sci-Fi', 'Thriller']","A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",based on novella
9,I Am Legend,7.2,"['Action', 'Adventure', 'Drama']","Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",based on novella
10,1922,6.2,"['Crime', 'Drama', 'Horror']","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.",based on novella
11,Hellraiser,,"['Horror', 'Thriller']",Reboot of the 1987 horror film about an evil creature who is summoned from another dimension.,based on novella
12,Presencias del mal,3.8,"['Drama', 'Horror', 'Mystery']","A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw.""",based on novella
13,Breakfast at Tiffany's,7.6,"['Comedy', 'Drama', 'Romance']","A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",based on novella
14,In the Tall Grass,5.4,"['Horror', 'Mystery', 'Sci-Fi']","After hearing a young boy's cry for help, a sister and brother venture into a vast field of tall grass in Kansas but soon discover there may be no way out...and that something evil lurks within.",based on novella
15,Dr. Jekyll and Mr. Hyde,7.6,"['Horror', 'Sci-Fi']",Dr. Jekyll faces horrible consequences when he lets his dark side run wild with a potion that transforms him into the animalistic Mr. Hyde.,based on novella
16,Haven,7.5,"['Crime', 'Drama', 'Fantasy']","Many in the coastal town of Haven, Maine have a dormant curse or ""trouble"" that could trigger at any time for any reason. FBI agent Audrey Parker, the sheriff and the town's black sheep must deal with the troubles' deadly effects.",based on novella
17,Nostalgia del pasado,6.9,"['Drama', 'Mystery']",Widowed Liz Garfield and her son Bobby change when mysterious stranger Ted Brautigan enters their lives.,based on novella
18,Two Mothers,6.2,"['Drama', 'Romance']",A pair of childhood friends and neighbors fall for each other's sons.,based on novella
19,A Christmas Carol,7.2,"['Drama', 'Fantasy']",A television adaptation of Charles Dickens' classic Christmas tale of the miser Ebenezer Scrooge.,based on novella
20,Enemy Mine,6.9,"['Action', 'Adventure', 'Drama']","During a long space war, the lives of two wounded enemies become dependent on their ability to forgive and to trust.",based on novella
21,Wounds,4.0,"['Drama', 'Horror', 'Mystery']",Disturbing and mysterious things begin to happen to a bartender in New Orleans after he picks up a phone left behind at his bar.,based on novella
22,Revenge,6.2,"['Action', 'Crime', 'Drama']","A retired US Navy pilot comes to Mexico, where he falls in love with the wife of a powerful businessman. The consequences will be cruel and unforeseen.",based on novella
23,Schachnovelle,7.3,"['Drama', 'Thriller', 'War']","To withstand the psychological torture of the Gestapo, a lawyer imprisoned by the Nazis rescues himself in the world of chess.",based on novella
24,A Christmas Carol,6.8,"['Animation', 'Adventure', 'Comedy']","An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",based on novella
25,The Best Years of Our Lives,8.1,"['Drama', 'Romance', 'War']","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",based on novella
26,A Good Marriage,5.3,"['Crime', 'Drama', 'Thriller']","After 25 years of a good marriage, what will Darcy do once she discovers her husband's sinister secret?",based on novella
27,A Boy and His Dog,6.5,"['Comedy', 'Drama', 'Sci-Fi']",A young man and his telepathic dog wander a post-apocalyptic wasteland.,based on novella
28,Apt Pupil,6.7,"['Crime', 'Drama', 'Thriller']",A boy blackmails his neighbor after suspecting him to be a Nazi war criminal.,based on novella
29,The Brave Little Toaster,7.3,"['Animation', 'Adventure', 'Family']",A group of dated appliances embark on a journey to the city to find their master after being abandoned in a cabin in the woods.,based on novella
30,La infancia de Iván,8.1,"['Drama', 'War']","During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.",based on novella
31,Albert Nobbs,6.7,"['Drama', 'Romance']","Albert Nobbs struggles to survive in late 19th-century Ireland, where women aren't encouraged to be independent. Posing as a man so she can work as a butler in Dublin's most elegant hotel, Albert meets a handsome painter and looks to escape the lie she has been living.",based on novella
32,Carmilla,8.2,"['Short', 'Comedy', 'Fantasy']","Small town girl Laura Hollis has just finally moved out to go to Silas University. When her missing roommate is replaced without explanation, Laura vows to find out what is happening on ...                <a href=""/title/tt4127260/plotsummary"">See full summary</a> »
",based on novella
33,Michael Kohlhaas,6.1,"['Drama', 'History']","In the 16th century in the Cévennes, a horse dealer by the name of Michael Kohlhaas leads a happy family life. When a lord treats him unjustly, he raises an army and puts the country to fire and sword in order to have his rights restored.",based on novella
34,Blood Ties,7.2,"['Drama', 'Fantasy', 'Horror']","Vicki Nelson, a former homicide detective turned private investigator, and Henry Fitzroy, a 470-year-old vampire, form a unique team solving cases and dealing with the supernatural world.",based on novella
35,Unlocking Christmas,6.6,"['Mystery', 'Romance']","When a mysterious key and a holiday riddle arrive on their doorsteps, Kate and Kevin embark on a Christmas romance adventure they'll never forget.",based on novella
36,The Resurrected,6.3,['Horror'],Charles Dexter Ward's wife enlists the help of a private detective to find out what her husband is up to in a remote cabin owned by his family for centuries.,based on novella
37,The Carmilla Movie,6.6,"['Comedy', 'Horror', 'Romance']","It has been five years since Laura and Carmilla vanquished the apocalypse and Carmilla became a bona fide mortal human. They have settled in to a cozy apartment in downtown Toronto; Laura ...                <a href=""/title/tt7427856/plotsummary"">See full summary</a> »
",based on novella
38,Kit Kittredge: An American Girl,6.5,"['Comedy', 'Drama', 'Family']","Set in Cincinnati at the height of the Great Depression, Kit Kittredge, a resourceful young girl, helps her mother run a boardinghouse after her father loses his job.",based on novella
39,Los principiantes,6.5,"['Comedy', 'Drama', 'Romance']","An intelligent graduate and working-class army veteran has an affair and clashes with a 'nouveau riche' young woman, who does not care about birth control or the use of any other precautions to avoid pregnancy.",based on novella
40,Nightflyers,4.3,"['Horror', 'Mystery', 'Sci-Fi']",Professor hires a spaceship to get to the source of weird signals from deep space. The trip is cut short however when the ship's computer gets jealous because the captain is in love with one of the female passengers and it gets homicidal.,based on novella
41,El autor,6.5,"['Comedy', 'Crime', 'Drama']","A man obsessed with the idea of writing ""high literature"" starts to cause conflicts around him to write about it.",based on novella
42,Stille dage i Clichy,5.3,"['Comedy', 'Drama']","Not so quiet, Joey and Carl's days in Clichy... The two men, living in a small apartment, are penniless writers, with not enough to eat, which does not prevent them from enjoying life. One ...                <a href=""/title/tt0066407/plotsummary"">See full summary</a> »
",based on novella
43,Youth Without Youth,6.2,"['Drama', 'Fantasy', 'Mystery']","A love story wrapped in a mystery. Set in World War II Europe, a professor is changed by a cataclysmic event and explores the mysteries of life.",based on novella
44,Mickey's Christmas Carol,8.0,"['Animation', 'Short', 'Comedy']",The classic Disney animated characters play the roles in this animated retelling of the Charles Dickens masterpiece.,based on novella
45,El Hijo,5.5,"['Drama', 'Mystery', 'Thriller']","Lorenzo, a 50 y.o. painter, is having a child with his new wife, Sigrid. She gets stranger and stranger - or he does. He claims, the baby's been switched.",based on novella
46,Timescape,6.5,"['Mystery', 'Sci-Fi']","Before they can complete renovations on their new inn, Widower (Ben Wilson) and daughter (Hillary) are visited by a woman seeking immediate lodging for her strange group of travellers. Why ...                <a href=""/title/tt0104362/plotsummary"">See full summary</a> »
",based on novella
47,A Christmas Carol,6.2,"['Drama', 'Fantasy', 'Musical']",An old bitter miser is given a chance for redemption when he is haunted by ghosts on Christmas Eve.,based on novella
48,Prénom Carmen,6.5,"['Crime', 'Drama', 'Music']",A woman involved with a terrorist group becomes dangerously close to the police officer guarding the bank they plan to rob.,based on novella
49,Le amiche,7.2,"['Drama', 'Romance']",A young woman returns to her hometown of Turin to set up a new fashion salon and gets involved with a troubled woman and her three wealthy friends.,based on novella
0,El teléfono negro,8.3,['Horror'],"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",based on short story
1,Chapelwaite,7.3,"['Drama', 'Horror', 'Mystery']","In the 1850s, Captain Charles Boone relocates his family to his ancestral home in the small, sleepy town of Preacher's Corners. Charles will soon have to confront the secrets of his family's history and fight to end the darkness.",based on short story
2,The Shawshank Redemption,9.3,['Drama'],"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",based on short story
3,Sherlock,9.1,"['Crime', 'Drama', 'Mystery']",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,based on short story
4,Candyman,6.7,"['Horror', 'Thriller']","The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.",based on short story
5,Creepshow,7.1,"['Fantasy', 'Horror', 'Mystery']",The fictional Creepshow comic books come to life in this anthology series of terrifying tales hosted by the silent Creepshow ghoul.,based on short story
6,Arrival,7.9,"['Drama', 'Sci-Fi']",A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,based on short story
7,El enigma de otro mundo,8.1,"['Horror', 'Mystery', 'Sci-Fi']",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,based on short story
8,Needle in a Timestack,3.9,"['Drama', 'Fantasy', 'Romance']","Nick and Janine live in marital bliss until Janine's ex-husband warps time to try to tear them apart. As Nick's memories disappear, he must decide what he's willing to sacrifice in order to hold onto - or let go of - everything he loves.",based on short story
9,Sleepy Hollow,7.3,"['Fantasy', 'Horror', 'Mystery']","Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition, The Headless Horseman.",based on short story
10,Eyes Wide Shut,7.4,"['Drama', 'Mystery', 'Thriller']","A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing.",based on short story
11,They Live,7.3,"['Action', 'Sci-Fi', 'Thriller']",They influence our decisions without us knowing it. They numb our senses without us feeling it. They control our lives without us realizing it. They live.,based on short story
12,Children of the Corn,5.6,"['Horror', 'Thriller']",A young couple is trapped in a remote town where a dangerous religious cult of children believes that everyone over age 18 must be killed.,based on short story
13,"Love, Death & Robots",8.5,"['Animation', 'Short', 'Action']","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",based on short story
14,The Thing,6.2,"['Horror', 'Mystery', 'Sci-Fi']","At an Antarctica research site, the discovery of an alien craft leads to a confrontation between graduate student Kate Lloyd and scientist Dr. Sander Halvorson.",based on short story
15,Memento,8.4,"['Mystery', 'Thriller']",A man with short-term memory loss attempts to track down his wife's murderer.,based on short story
16,A Few Good Men,7.7,"['Drama', 'Thriller']",Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,based on short story
17,2001: Odisea del espacio,8.3,"['Adventure', 'Sci-Fi']","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",based on short story
18,Seven Brides for Seven Brothers,7.4,"['Comedy', 'Drama', 'Musical']","In 1850 Oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too.",based on short story
19,El vengador del futuro,6.2,"['Action', 'Adventure', 'Sci-Fi']","A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run.",based on short story
20,The Mist,7.1,"['Horror', 'Sci-Fi', 'Thriller']","A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",based on short story
21,Secretary,7.0,"['Comedy', 'Drama', 'Romance']","A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",based on short story
22,Brokeback Mountain,7.7,"['Drama', 'Romance']",Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,based on short story
23,Los pájaros,7.7,"['Drama', 'Horror', 'Mystery']",A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,based on short story
24,Predestination,7.5,"['Action', 'Drama', 'Sci-Fi']","For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.",based on short story
25,The Curious Case of Benjamin Button,7.8,"['Drama', 'Fantasy', 'Romance']","Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",based on short story
26,El vengador del Futuro,7.5,"['Action', 'Sci-Fi', 'Thriller']","When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",based on short story
27,A View to a Kill,6.3,"['Action', 'Adventure', 'Thriller']",The recovery of a microchip off the body of a fellow agent leads James Bond to a mad industrialist who plans to create a worldwide microchip monopoly by destroying California's Silicon Valley.,based on short story
28,Octopussy,6.5,"['Action', 'Adventure', 'Thriller']","A fake Fabergé egg, and a fellow Agent's death, lead James Bond to uncover an international jewel-smuggling operation, headed by the mysterious Octopussy, being used to disguise a nuclear attack on N.A.T.O. forces.",based on short story
29,It's a Wonderful Life,8.6,"['Drama', 'Family', 'Fantasy']",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,based on short story
30,Sentencia previa,7.6,"['Action', 'Crime', 'Mystery']","In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",based on short story
31,Rear Window,8.5,"['Mystery', 'Thriller']","A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",based on short story
32,A.I. inteligencia artificial,7.2,"['Drama', 'Sci-Fi']","A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",based on short story
33,Doraibu mai kâ,7.8,['Drama'],Nishijima Hidetoshi is a stage actor and director happily married to his playwright wife. Then one day she disappears.,based on short story
34,1922,6.2,"['Crime', 'Drama', 'Horror']","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.",based on short story
35,Million Dollar Baby,8.1,"['Drama', 'Sport']",A determined woman works with a hardened boxing trainer to become a professional.,based on short story
36,Color Out of Space,6.2,"['Horror', 'Mystery', 'Sci-Fi']",A secluded farm is struck by a strange meteorite which has apocalyptic consequences for the family living there and possibly the world.,based on short story
37,The Little Mermaid,7.6,"['Animation', 'Family', 'Fantasy']",A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,based on short story
38,La Vida Secreta de Walter Mitty,7.3,"['Adventure', 'Comedy', 'Drama']","When both he and a colleague are about to lose their job, Walter takes action by embarking on an adventure more extraordinary than anything he could have ever imagined.",based on short story
39,Gigantes de acero,7.0,"['Action', 'Drama', 'Sci-Fi']","In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot.",based on short story
40,National Lampoon's Vacation,7.4,"['Adventure', 'Comedy']",The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.,based on short story
41,Re-Animator,7.2,"['Comedy', 'Horror', 'Sci-Fi']","After an odd new medical student arrives on campus, a dedicated local and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue.",based on short story
42,3:10 to Yuma,7.7,"['Action', 'Crime', 'Drama']",A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,based on short story
43,Coming Home in the Dark,5.7,"['Horror', 'Thriller']",A school teacher is forced to confront a brutal act from his past when a pair of ruthless drifters takes him and his family on a nightmare road-trip.,based on short story
44,Burning,7.5,"['Drama', 'Mystery']","Jong-su bumps into a girl who used to live in the same neighborhood, who asks him to look after her cat while she's on a trip to Africa. When back, she introduces Ben, a mysterious guy she met there, who confesses his secret hobby.",based on short story
45,1408,6.8,"['Fantasy', 'Horror', 'Mystery']","A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",based on short story
46,The Drop,7.1,"['Crime', 'Drama', 'Thriller']","Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost.",based on short story
47,Don't Look Now,7.2,"['Drama', 'Horror', 'Mystery']","A married couple grieving the recent death of their young daughter are in Venice when they encounter two elderly sisters, one of whom is psychic and brings a warning from beyond.",based on short story
48,Duel,7.6,"['Action', 'Thriller']",A business commuter is pursued and terrorized by the malevolent driver of a massive tractor-trailer.,based on short story
49,All About Eve,8.2,['Drama'],A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,based on short story
0,Duna,8.3,"['Action', 'Adventure', 'Drama']","Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.",battle
1,El último duelo,7.7,"['Action', 'Drama', 'History']",King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,battle
2,Dune,6.4,"['Action', 'Adventure', 'Sci-Fi']",A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,battle
3,De slag om de Schelde,7.1,"['Drama', 'War']","1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Schelde. Their choices differ, but their goal is the same: freedom.",battle
4,Black Widow,6.8,"['Action', 'Adventure', 'Sci-Fi']",Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,battle
5,Shang-chi y la leyenda de los diez anillos,7.9,"['Action', 'Adventure', 'Fantasy']","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",battle
6,Venom,6.7,"['Action', 'Adventure', 'Sci-Fi']","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",battle
7,What If...?,7.6,"['Animation', 'Action', 'Adventure']","Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory.",battle
8,El Escuadrón Suicida,7.3,"['Action', 'Adventure', 'Comedy']","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",battle
9,Dune,7.0,"['Adventure', 'Drama', 'Fantasy']","A three-part miniseries on politics, betrayal, lust, greed and the coming of a Messiah. Based on Frank Herbert's classic science fiction novel.",battle
10,Vikings,8.5,"['Action', 'Adventure', 'Drama']","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",battle
11,Doctor Who,8.6,"['Adventure', 'Drama', 'Family']",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,battle
12,Skyfall,7.8,"['Action', 'Adventure', 'Thriller']","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",battle
13,The Expanse,8.5,"['Drama', 'Mystery', 'Sci-Fi']","In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",battle
14,Avengers: Endgame,8.4,"['Action', 'Adventure', 'Drama']","After the devastating events of <a href=""/title/tt4154756"">Avengers: Infinity War</a> (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",battle
15,Rápidos y furiosos 9,5.2,"['Action', 'Adventure', 'Crime']",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,battle
16,G.I. Joe: Snake Eyes,5.4,"['Action', 'Adventure', 'Fantasy']",A G.I. Joe spin-off centered around the character of Snake Eyes.,battle
17,Star Trek: The Next Generation,8.6,"['Action', 'Adventure', 'Mystery']","Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.",battle
18,It,7.3,['Horror'],"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",battle
19,Tenet,7.4,"['Action', 'Sci-Fi', 'Thriller']","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",battle
20,Infinite,5.5,"['Action', 'Sci-Fi', 'Thriller']",A man discovers that his hallucinations are actually visions from past lives.,battle
21,Apocalypse Now,8.4,"['Drama', 'Mystery', 'War']",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,battle
22,La Liga de la Justicia de Zack Snyder,8.1,"['Action', 'Adventure', 'Fantasy']","Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",battle
23,Los cazafantasmas,7.8,"['Action', 'Comedy', 'Fantasy']","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",battle
24,Nadie,7.4,"['Action', 'Crime', 'Drama']","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him going to a bloody war with a Russian crime boss.",battle
